Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
PLG,Platinum Group Metals Ltd. Ordinary Shares (Canada),$4.28,-0.16,-3.604%,316539872.00,Canada,,790036,,
PLM,Polymet Mining Corporation Ordinary Shares (Canada),$2.87,0.00,0.00%,289517908.00,Canada,,156458,,
PLX,Protalix BioTherapeutics Inc. (DE) Common Stock,$2.91,0.03,1.042%,132064038.00,Israel,,330538,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
PLYM^A,Plymouth Industrial REIT Inc. 7.50% Series A Cumulative Redeemable Preferred Stock,$26.9776,-0.0224,-0.083%,,United States,,285,,
PRK,Park National Corporation Common Stock,$127.47,1.56,1.239%,2082941891.00,United States,,20451,Finance,Major Banks
PTK,PTK Acquisition Corp. Common Stock,$9.89,0.00,0.00%,142168750.00,United States,2020,5514,,
PTN,Palatin Technologies Inc. Common Stock,$0.5769,-0.0031,-0.534%,132715667.00,United States,,1440171,Health Care,Major Pharmaceuticals
PW,Power REIT (MD) Common Stock,$38.90,-0.32,-0.816%,128351834.00,United States,,5016,Consumer Services,Real Estate Investment Trusts
PW^A,Power REIT 7.75% Series A Cumulative Perpetual Preferred Stock,$26.07,-1.40,-5.096%,,United States,,300,,
PZG,Paramount Gold Nevada Corp. Common Stock,$1.07,0.04,3.883%,40335169.00,United States,2015,156854,Basic Industries,Precious Metals
